founder_name,first_name,last_name,tjhsst_graduation_year,tjhsst_year_confidence,tjhsst_evidence,tjhsst_source_url,company_name,company_website,founder_role,founding_year,company_status,industry,subindustry,company_description,headquarters,venture_backed,total_funding,latest_known_round,notable_investors,accelerator,acquisition_or_exit,acquirer,exit_year,current_founder_role,founder_linkedin,founder_personal_website,company_linkedin,founder_evidence,founder_source_url,additional_sources,discovery_method,discovered_via,discovery_source_url,confidence_score,notes,universities_attended
Nader Al-Naji,Nader,Al-Naji,2010,Confirmed,TJHSST Founders Initiative lists Al-Naji as a 2010 alumnus.,https://www.tjhsst.network/alumni,Basis,https://www.basis.io/,Founder and CEO,2017,Closed,Fintech,Algorithmic stablecoin,Cryptocurrency company that designed an algorithmic stablecoin.,"Hoboken, NJ",Yes,At least $133M publicly announced,Private token-sale financing,"$133M round included Bain Capital Ventures, GV, Lightspeed, Andreessen Horowitz and others",None,Shut down and returned capital after regulatory concerns,Unknown,2018,Former founder,Unknown,Unknown,Unknown,Company and investor coverage identify Al-Naji as founder/CEO.,https://www.tjhsst.network/companies/basis,Unknown,TJHSST founder directory,TJHSST Founders Initiative,https://www.tjhsst.network/alumni,5,Unknown,Princeton University
Nader Al-Naji,Nader,Al-Naji,2010,Confirmed,TJHSST Founders Initiative lists Al-Naji as a 2010 alumnus.,https://www.tjhsst.network/alumni,DeSo (formerly BitClout),https://www.deso.com/,Founder,2019,Active,Social,Decentralized social blockchain,Blockchain protocol and social-token ecosystem originally launched as BitClout.,"Los Angeles, CA",Yes,At least $200M publicly announced,Private token financing,Andreessen Horowitz; Coinbase Ventures; Sequoia; Social Capital; Pantera,None,None known,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Company and financing coverage identify Al-Naji as the founder of BitClout/DeSo.,https://theorg.com/org/bitclout/org-chart/nader-al-naji,https://www.theblock.co/post/118614/bitclout-deso-200-million-funding-round,TJHSST founder directory,TJHSST Founders Initiative,https://www.tjhsst.network/alumni,5,Unknown,Princeton University
Jeff Arnold,Jeff,Arnold,2003,Confirmed,A 2003 local-news report identifies Arnold as a TJ senior; TJ founder materials also identify him as an alumnus.,https://m.connectionnewspapers.com/news/2003/apr/16/tj-students-computerize-cappies-voting/,Ksplice,https://ksplice.oracle.com/,Co-founder,2008,Acquired,Enterprise Software,Linux infrastructure,Rebootless Linux kernel updating technology commercialized from MIT research.,"Cambridge, MA",Yes,Unknown,Seed / venture,Polaris Venture Partners; True Ventures,None,Acquired,Oracle,2011,Former founder,https://www.linkedin.com/in/jeffarnold,Unknown,Unknown,Pilot’s founding history identifies the team as Ksplice co-founders.,https://pilot.com/blog/best-bookkeeping-service-pilot-founding-story,https://www.tjhsst.network/news/ksplice-oracle-acquisition,Howard Lerman social-hub search,Howard Lerman LinkedIn post,https://www.linkedin.com/posts/howardlerman_i-love-all-founders-but-my-fellow-thomas-activity-7117608482018598912-19gQ,5,Unknown,MIT
Tim Abbott,Tim,Abbott,2003,Confirmed,A 2003 local-news report identifies Abbott as a TJ senior; his MIT page describes the TJ computer-systems lab.,https://m.connectionnewspapers.com/news/2003/apr/16/tj-students-computerize-cappies-voting/,Ksplice,https://ksplice.oracle.com/,Co-founder,2008,Acquired,Enterprise Software,Linux infrastructure,Rebootless Linux kernel updating technology commercialized from MIT research.,"Cambridge, MA",Yes,Unknown,Seed / venture,Polaris Venture Partners; True Ventures,None,Acquired,Oracle,2011,Former founder,Unknown,https://web.mit.edu/tabbott/www/,Unknown,Pilot’s founding history identifies the team as Ksplice co-founders.,https://pilot.com/blog/best-bookkeeping-service-pilot-founding-story,https://www.tjhsst.network/news/ksplice-oracle-acquisition,Recursive founder-network expansion,Jeff Arnold network expansion,https://pilot.com/blog/best-bookkeeping-service-pilot-founding-story,5,Unknown,MIT
Waseem Daher,Waseem,Daher,,Unknown,TJHSST Founders Initiative identifies Daher as a TJ alumnus; no reliable public graduation year located.,https://www.tjhsst.network/alumni,Ksplice,https://ksplice.oracle.com/,Co-founder,2008,Acquired,Enterprise Software,Linux infrastructure,Rebootless Linux kernel updating technology commercialized from MIT research.,"Cambridge, MA",Yes,Unknown,Seed / venture,Polaris Venture Partners; True Ventures,None,Acquired,Oracle,2011,Former founder,Unknown,https://waseem.substack.com/about,Unknown,Pilot’s founding history identifies the team as Ksplice co-founders.,https://pilot.com/blog/best-bookkeeping-service-pilot-founding-story,https://www.tjhsst.network/news/ksplice-oracle-acquisition,Recursive founder-network expansion,Jeff Arnold network expansion,https://pilot.com/blog/best-bookkeeping-service-pilot-founding-story,5,Unknown,MIT
Jeff Arnold,Jeff,Arnold,2003,Confirmed,A 2003 local-news report identifies Arnold as a TJ senior; TJ founder materials also identify him as an alumnus.,https://m.connectionnewspapers.com/news/2003/apr/16/tj-students-computerize-cappies-voting/,Zulip,https://zulip.com/,Co-founder,2012,Acquired,Enterprise Software,Team collaboration,Threaded team-chat product; later open-sourced after acquisition.,"Cambridge, MA",Yes,Unknown,Seed,Unknown,None,Acquired; subsequently open-sourced,Dropbox,2014,Former founder,https://www.linkedin.com/in/jeffarnold,Unknown,Unknown,Zulip history and acquisition coverage identify the founding team.,https://zulip.com/history/,https://techcrunch.com/2014/03/17/dropbox-acquires-zulip-a-stealthy-workplace-chat-solution-still-in-private-beta/,Howard Lerman social-hub search,Howard Lerman LinkedIn post,https://www.linkedin.com/posts/howardlerman_i-love-all-founders-but-my-fellow-thomas-activity-7117608482018598912-19gQ,5,Unknown,MIT
Tim Abbott,Tim,Abbott,2003,Confirmed,A 2003 local-news report identifies Abbott as a TJ senior; his MIT page describes the TJ computer-systems lab.,https://m.connectionnewspapers.com/news/2003/apr/16/tj-students-computerize-cappies-voting/,Zulip,https://zulip.com/,Co-founder,2012,Acquired,Enterprise Software,Team collaboration,Threaded team-chat product; later open-sourced after acquisition.,"Cambridge, MA",Yes,Unknown,Seed,Unknown,None,Acquired; subsequently open-sourced,Dropbox,2014,Former founder,Unknown,https://web.mit.edu/tabbott/www/,Unknown,Zulip history and acquisition coverage identify the founding team.,https://zulip.com/history/,https://techcrunch.com/2014/03/17/dropbox-acquires-zulip-a-stealthy-workplace-chat-solution-still-in-private-beta/,Recursive founder-network expansion,Jeff Arnold network expansion,https://pilot.com/blog/best-bookkeeping-service-pilot-founding-story,5,Unknown,MIT
Waseem Daher,Waseem,Daher,,Unknown,TJHSST Founders Initiative identifies Daher as a TJ alumnus; no reliable public graduation year located.,https://www.tjhsst.network/alumni,Zulip,https://zulip.com/,Co-founder,2012,Acquired,Enterprise Software,Team collaboration,Threaded team-chat product; later open-sourced after acquisition.,"Cambridge, MA",Yes,Unknown,Seed,Unknown,None,Acquired; subsequently open-sourced,Dropbox,2014,Former founder,Unknown,https://waseem.substack.com/about,Unknown,Zulip history and acquisition coverage identify the founding team.,https://zulip.com/history/,https://techcrunch.com/2014/03/17/dropbox-acquires-zulip-a-stealthy-workplace-chat-solution-still-in-private-beta/,Recursive founder-network expansion,Jeff Arnold network expansion,https://pilot.com/blog/best-bookkeeping-service-pilot-founding-story,5,Unknown,MIT
Jeff Arnold,Jeff,Arnold,2003,Confirmed,A 2003 local-news report identifies Arnold as a TJ senior; TJ founder materials also identify him as an alumnus.,https://m.connectionnewspapers.com/news/2003/apr/16/tj-students-computerize-cappies-voting/,Pilot,https://pilot.com/,Co-founder,2017,Active,Fintech,Bookkeeping and finance operations,"Bookkeeping, tax and CFO services for startups and small businesses.","San Francisco, CA",Yes,At least $100M publicly announced,"Series C ($100M, 2021)",Index Ventures; Sequoia Capital; Bezos Expeditions; Whale Rock,None,None known,Unknown,Unknown,Co-founder,https://www.linkedin.com/in/jeffarnold,Unknown,Unknown,Pilot’s official founding story identifies the co-founders.,https://pilot.com/blog/best-bookkeeping-service-pilot-founding-story,https://pilot.com/blog/pilot-unicorn-bezos-expeditions-whale-rock,Howard Lerman social-hub search,Howard Lerman LinkedIn post,https://www.linkedin.com/posts/howardlerman_i-love-all-founders-but-my-fellow-thomas-activity-7117608482018598912-19gQ,5,Unknown,MIT
Waseem Daher,Waseem,Daher,,Unknown,TJHSST Founders Initiative identifies Daher as a TJ alumnus; no reliable public graduation year located.,https://www.tjhsst.network/alumni,Pilot,https://pilot.com/,Co-founder,2017,Active,Fintech,Bookkeeping and finance operations,"Bookkeeping, tax and CFO services for startups and small businesses.","San Francisco, CA",Yes,At least $100M publicly announced,"Series C ($100M, 2021)",Index Ventures; Sequoia Capital; Bezos Expeditions; Whale Rock,None,None known,Unknown,Unknown,Co-founder,Unknown,https://waseem.substack.com/about,Unknown,Pilot’s official founding story identifies the co-founders.,https://pilot.com/blog/best-bookkeeping-service-pilot-founding-story,https://pilot.com/blog/pilot-unicorn-bezos-expeditions-whale-rock,Recursive founder-network expansion,Jeff Arnold network expansion,https://pilot.com/blog/best-bookkeeping-service-pilot-founding-story,5,Unknown,MIT
